model,parameter,overall_r2,overall_rmse,overall_n,viable_r2,viable_rmse,viable_n,outside_r2,outside_rmse,outside_n,viable_low,viable_high
random_forest,tau_v,0.9119063708232742,10.56604505886153,80,0.7457833034581376,8.856674520333623,37,0.8225183501342033,11.841000275141436,43,34.4423289996278,101.13438100409425
random_forest,tau_w,0.8155904075340226,145.75655933461442,80,0.7302642856569046,127.93547020950453,58,0.8411350116047293,184.67217439868347,22,484.86747341120224,1265.012047871709
random_forest,a,0.7170173921386824,0.044464597156698496,80,0.0654179798408453,0.046517055484792194,47,0.8677951849817032,0.04136596420743724,33,0.5861844296430193,0.7662184314203976
random_forest,b,0.3420250773992508,0.06776317574007151,80,0.21003738915785364,0.056391528929986424,63,0.3811750348204509,0.09911596096359027,17,0.7482220344137603,0.9683434514169308
random_forest,v_scale,-0.007058193136063817,2.500703105481972,80,-0.03128912759796432,2.2184575577231382,71,-112.76435031494303,4.094046522107594,9,0.5,8.7
random_forest,R_off,-0.24421492684721136,81.1952471957331,80,-0.19595482979680767,63.80830224248219,62,-1.8099885377490517,123.59892313444122,18,65.27403986811348,266.79326910289876
random_forest,R_on,0.016572188267922505,13.537764060402022,80,-1.3402687825783808,12.259451172286344,39,-1.4143753360463593,14.650574684164678,41,3.1334099790159993,32.442417274634906
random_forest,alpha,0.3961267649286696,0.0033101381199266092,80,-0.03771503097319817,0.0036450864846703677,30,0.04876532884799112,0.003091800399176842,50,0.0024406502381235772,0.01614175906926149
mlp,tau_v,0.8052508128174064,15.71006689547737,80,-0.17745183323730607,19.060760500215455,37,0.8144838110954291,12.10605296180836,43,34.4423289996278,101.13438100409425
mlp,tau_w,0.6982455892891722,186.45033472765758,80,0.38591838177187854,193.03443639242224,58,0.8687456139357914,167.85886318174855,22,484.86747341120224,1265.012047871709
mlp,a,-4.338664970996024,0.193130481600748,80,-22.362330090201716,0.23257422547103523,47,-0.03409185305938278,0.11569086646523134,33,0.5861844296430193,0.7662184314203976
mlp,b,-4.4675050157894,0.19533662301905708,80,-8.766783286765389,0.19828340907573522,63,-1.1327529022782716,0.18400513956590026,17,0.7482220344137603,0.9683434514169308
mlp,v_scale,-0.4256356095299023,2.9753572392509153,80,-0.6329385680784687,2.7915526816788345,71,-115.84331469268956,4.149078123809322,9,0.5,8.7
mlp,R_off,-0.36115538763989474,84.9252351287779,80,-0.5151118617607724,71.81946242403319,62,-1.6281435784241398,119.5327625000024,18,65.27403986811348,266.79326910289876
mlp,R_on,0.00246140048081267,13.634541952615066,80,-1.5798767806979472,12.871751311789193,39,-1.3074453948683429,14.322472065833908,41,3.1334099790159993,32.442417274634906
mlp,alpha,-1845.7567428794334,0.18305351463524522,80,-5310.035013117264,0.260770443472543,30,-1274.016716903774,0.1131945592296089,50,0.0024406502381235772,0.01614175906926149
